Name,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,star_distance,star_mass,star_radius,star_teff,M-dwarf,
Kepler-63 b,0.378,0.545,9.4341505,0.08,0.45,87.806,200,0.98,0.9,5576,0,
Kepler-68 b,0.02407,0.206,5.3988,0.0617,0,87.6,144.77,1.08,1.24,5793,0,
Kepler-68 c,0.00642,0.0827,9.6051,0.09059,0,86.93,144.77,1.08,1.24,5793,0,
Kepler-7 b,0.441,1.622,4.8854892,0.06067,0.1,85.161,947.46,1.36,1.97,5933,0,
Kepler-74 b,0.63,0.96,7.340711,0.0781,0,87.46,1218.33,1.18,1.12,6000,0,
Kepler-75 b,10.1,1.05,8.8849116,0.0818,0.57,89.12,855.5,0.91,0.89,5200,0,
Kepler-77 b,0.43,0.96,3.57878087,0.04501,0,88,570,0.95,0.99,5520,0,
Kepler-79 b,0.0343,0.31,13.4845,0.117,0.015,88.78,1051.43,1.17,1.3,6174,0,
Kepler-79 c,0.019,0.332,27.4029,0.187,0.03,89.48,1051.43,1.17,1.3,6174,0,
Kepler-79 d,0.019,0.639,52.0902,0.287,0.025,89.93,1051.43,1.17,1.3,6174,0,
Kepler-79 e,0.013,0.311,81.0659,0.386,0.012,89.13,1051.43,1.17,1.3,6174,0,
Kepler-8 b,0.59,1.416,3.5224991,0.0474,0,83.978,1052.9,1.21,1.49,6213,0,
Kepler-82 b,0.03823,0.363,26.44,0.1683,0.0033,89.052,927.97,0.91,0.9,5428,0,
Kepler-82 c,0.04373,0.476,51.54,0.2626,0.007,90.15,927.97,0.91,0.9,5428,0,
Kepler-87 b,1.02,1.204,114.73635,0.481,0.036,89.274,1277.88,1.1,1.82,5600,0,
Kepler-87 c,0.02,0.548,191.2318,0.676,0.039,89.588,1277.88,1.1,1.82,5600,0,
Kepler-89 b,0.033,0.153,3.743208,0.05119,0.25,89.3,483.65,1.28,1.52,6182,0,
Kepler-89 c,0.049,0.385,10.423648,0.1013,0.43,88.36,483.65,1.28,1.52,6182,0,
Kepler-89 d,0.334,1.005,22.342989,0.1684,0.022,89.871,483.65,1.28,1.52,6182,0,
Kepler-89 e,0.11,0.585,54.32031,0.3046,0.019,89.76,483.65,1.28,1.52,6182,0,
Kepler-9 b,0.13655,0.74,19.23891,0.143,0.0609,88.982,614,1.02,0.96,5774,0,
Kepler-9 c,0.09408,0.721,38.9853,0.227,0.06691,89.188,614,1.02,0.96,5774,0,
Kepler-91 b,0.81,1.367,6.24658,0.0731,0.066,69.68,1344.56,1.31,6.3,4550,0,
Kepler-93 b,0.0143,0.14,4.72674,0.053,0,89.18,96.18,1.09,0.98,5669,0,
KOI-12 b,1.1,1.23,17.855182,0.154,0.34,88.95,403.99,1.5,1.4,6820,0,
KOI-1257 b,1.45,0.94,86.647661,0.382,0.772,89.66,900,0.99,1.13,5520,0,
KOI-13 b,9.28,1.512,1.763588,0.03641,0.00064,86.77,415,1.72,1.74,7650,0,
KOI-1599.01,0.01447,0.17,20.4415,0.14728,0.014,89.78,1168.99,1.02,0.97,5370,0,
KOI-1599.02,0.02832,0.17,13.6088,0.112293,0.0114,88.6,1168.99,1.02,0.97,5370,0,
KOI-3680 b,1.93,0.99,141.241671,0.534,0.496,89.892,946.59,1.01,0.96,5830,0,
KOI-415 b,62.14,0.79,166.78805,0.593,0.698,89.31,962.56,0.94,1.25,5810,0,
KOI-4777,0.00107,0.0455,0.412,0.008,0,87,170.66,0.41,0.4,3515,1,
L 168-9 b,0.0145,0.124,1.4015,0.02091,0.21,85.5,25.15,0.62,0.6,3800,0,
L 98-59 b,0.0013,0.0758,2.2531136,0.02191,0.1,87.71,10.623,0.32,0.291,3500,1,
L 98-59 c,0.00698,0.12356,3.6906777,0.0304,0.103,88.11,10.623,0.32,0.291,3500,1,
L 98-59 d,0.0061,0.1357,7.4507245,0.0486,0.074,88.449,10.623,0.32,0.291,3500,1,
LHS 1140 b,0.02196,0.15407,24.736,0.0936,0.06,89.912,12.47,0.146,0.186,3131,1,
LHS 1140 c,0.00569,0.11437,3.777931,0.02675,0.31,89.92,12.47,0.146,0.186,3131,1,
LHS 1678 b,0.00019,0.06209,0.8602322,0.01251,0.041,87.55,19.89,0.345,0.329,3490,1,
LHS 1678 c,0.00123,0.08761,3.694237,0.0331,0.034,89.09,19.89,0.345,0.329,3490,1,
LHS 1815 b,0.0132,0.09707,3.81433,0.0404,0,88.125,29.87,0.502,0.501,3643,1,
LP 714-47 b,0.0969,0.419,4.052037,0.0417,0.04,87.3,52.7,0.59,0.584,3950,0,
LTT 1445A b,0.00903,0.11643,5.3587657,0.03813,0.11,89.68,6.9,0.256,0.27,3340,1,
